rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,name,position,velocity,effort
12109000000,,601,,12,108000000,'',"[joint_1, joint_2]","[5.86321611212452, 0.669151682059721]","[0.003935938028078187, -5.5202873823070615e-05]","[2.270880808274373, 0.5927757314985462]"
12128000000,,602,,12,128000000,'',"[joint_1, joint_2]","[5.863294688956265, 0.6691505798109896]","[0.003922428126909286, -5.503081480685108e-05]","[2.270931083945087, 0.5927662373940574]"
12148000000,,603,,12,148000000,'',"[joint_1, joint_2]","[5.863372996061808, 0.6691494809897867]","[0.0039089631200849295, -5.486006581831293e-05]","[2.270981158812405, 0.5927567635543304]"
12168000000,,604,,12,168000000,'',"[joint_1, joint_2]","[5.863451034336376, 0.6691483855692733]","[0.0038955427566505227, -5.4690686661231815e-05]","[2.271031035458637, 0.5927473110435327]"
12188000000,,605,,12,188000000,'',"[joint_1, joint_2]","[5.863528804670325, 0.6691472935215002]","[0.003882166799714309, -5.4522728758031776e-05]","[2.271080716382478, 0.5927378808783975]"
12208000000,,606,,12,208000000,'',"[joint_1, joint_2]","[5.863606307949419, 0.6691462048175714]","[0.003868835025870431, -5.4356235543738356e-05]","[2.2711302039970795, 0.5927284740266363]"
12228000000,,607,,12,228000000,'',"[joint_1, joint_2]","[5.863683545055085, 0.669145119427804]","[0.0038555472245263064, -5.419124280036042e-05]","[2.271179500628933, 0.5927190914063096]"
12248000000,,608,,12,248000000,'',"[joint_1, joint_2]","[5.863760516864674, 0.6691440373218791]","[0.0038423031972815557, -5.402777905104102e-05]","[2.2712286085171285, 0.5927097338849271]"
12268000000,,609,,12,268000000,'',"[joint_1, joint_2]","[5.863837224251687, 0.6691429584689788]","[0.00382910275733372, -5.386586595737368e-05]","[2.2712775298130596, 0.5927004022794504]"
12288000000,,610,,12,288000000,'',"[joint_1, joint_2]","[5.863913668086001, 0.669141882837919]","[0.0038159457287481333, -5.370551865934749e-05]","[2.271326266580192, 0.5926910973556049]"
